PUBLICATION_DATE,UID,lat,lon,DATE_COL,SITE_ID,SITE_USE,STATE,REGION,VISIT_NO,SAMPLE_TYPE,COND,COND_USEABILITY,NH3,NH3_USEABILITY,NO3NO2,NO3NO2_USEABILITY,PH,PH_USEABILITY,TKN,TKN_USEABILITY,TN,TN_USEABILITY,TP,TP_USEABILITY,CONDUCTIVITY_FIELD,PH_FIELD
7/28/2016,5555,34.780874,-76.404802,5/26/2011,NWCA11-2038,NWCA_PROBABILITY,NC,CPL,1,CHEM,51420,"USE - field & lab, flag issue minor",0.004,USE,0.001,USE - account for <DL/LRL,8.03,USE,,,0.506,USE - flag issue minor,19,USE - flag issue minor,59045,7.82
7/28/2016,5557,35.632768,-77.699601,8/31/2011,NWCA11-2039,NWCA_PROBABILITY,NC,CPL,1,CHEM,63.62,"USE - field & lab, no issues",0.025,USE,0.067,USE - no issues,4.47,USE,,,1.75,USE - no issues,40,USE - no issues,31.2,4.11
7/28/2016,5560,35.7286112,-76.5399286,9/19/2011,NWCA11-2042,NWCA_PROBABILITY,NC,CPL,1,CHEM,73.66,"USE - field & lab, no issues",0.029,USE,0.023,USE - no issues,4.12,USE,,,2.455,USE - no issues,143,USE - no issues,787,3.84
7/28/2016,5566,35.57201335,-75.91082479,9/21/2011,NWCA11-2048,NWCA_PROBABILITY,NC,CPL,1,CHEM,17120,"USE - field & lab, no issues",0.489,USE,0.004,USE - no issues,3.55,USE,,,1.238,USE - no issues,41,USE - no issues,18230,3.49
7/28/2016,5568,35.08929236,-77.47447613,8/23/2011,NWCA11-2051,NWCA_PROBABILITY,NC,CPL,1,CHEM,70.34,"USE - field & lab, no issues",0.019,USE,0.008,USE - account for <DL/LRL,6.11,USE,,,1.11,USE - no issues,56,USE - no issues,29.4,5.41
7/28/2016,5582,36.284334,-75.86739,6/6/2011,NWCA11-2070,NWCA_PROBABILITY,NC,CPL,1,CHEM,6184,"USE - only lab, no issues",0.013,USE,0,USE - account for <DL/LRL,8.25,USE,,,1.033,USE - no issues,36,USE - no issues,,
7/28/2016,5584,35.59044085,-76.46045297,9/1/2011,NWCA11-2073,NWCA_PROBABILITY,NC,CPL,1,CHEM,85.65,"USE - field & lab, no issues",0.022,USE,0.018,USE - account for <DL/LRL,6.02,USE,,,3.29,USE - no issues,423,USE - no issues,98.3,5.01
7/28/2016,5586,35.6770101,-75.49589756,6/8/2011,NWCA11-2074,NWCA_PROBABILITY,NC,CPL,1,CHEM,46740,"USE - field & lab, no issues",0.019,USE,0.006,USE - no issues,7.82,USE,,,0.769,USE - no issues,68,USE - no issues,49968,
7/28/2016,5588,34.968374,-77.872754,6/13/2011,NWCA11-2075,NWCA_PROBABILITY,NC,CPL,1,CHEM,76.99,"USE - field & lab, no issues",0.417,USE,0.013,USE - account for <DL/LRL,6.63,USE,,,3.045,USE - no issues,428,USE - no issues,77.7,6.43
7/28/2016,5590,35.60186221,-75.81856545,9/8/2011,NWCA11-2076,NWCA_PROBABILITY,NC,CPL,1,CHEM,14360,"USE - field & lab, flag issue minor",0.368,USE,0.005,USE - flag issue minor,6.58,USE,,,1.353,USE - flag issue minor,123,USE - flag issue minor,17000,6.34
7/28/2016,5593,35.41465949,-76.42973312,9/9/2011,NWCA11-2081,NWCA_PROBABILITY,NC,CPL,1,CHEM,27090,"USE - field & lab, flag issue minor",0.009,USE,0.004,USE - flag issue minor,7.21,USE,,,1.69,USE - flag issue minor,196,USE - flag issue minor,29740,6.49
7/28/2016,5595,40.85989569,-97.39512119,6/27/2011,NWCA11-2140,NWCA_PROBABILITY,NE,SPL,1,CHEM,92.47,"USE - only lab, no issues",0.025,USE,1.029,USE - no issues,7.18,USE,,,2.25,USE - no issues,910,USE - no issues,,
7/28/2016,5597,40.8602312,-97.40878477,7/8/2011,NWCA11-2151,NWCA_PROBABILITY,NE,SPL,1,CHEM,39.35,"USE - field & lab, flag issue minor",0.035,USE,0.009,USE - account for <DL/LRL,6.7,USE,,,0.968,USE - flag issue minor,371,USE - flag issue minor,60,6.42
7/28/2016,5600,40.432256,-101.611125,6/30/2011,NWCA11-2148,NWCA_PROBABILITY,NE,SPL,1,CHEM,461.1,"USE - only lab, no issues",0.02,USE,0.634,USE - no issues,8.34,USE,,,1.229,USE - no issues,178,USE - no issues,,
7/28/2016,5604,43.075137,-70.90394,8/30/2011,NWCA11-2170,NWCA_PROBABILITY,NH,NAP,1,CHEM,30360,"USE - only lab, no issues",0.001,USE,0.019,USE - no issues,7.26,USE,,,0.618,USE - no issues,75,USE - no issues,,
